,ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,4D6ACC,421,46,0,358,577,370,328,258,0,0,381,263,326,403,485,566,302,93,528,402,286,246,210,8,173,453,399,374,239,258,NA
1,2A0DA6F,529,573,4,765,891,803,677,738,4,0,190,190,80,277,363,5,0,103,732,282,373,296,207,121,410,365,330,303,727,378,NA
2,4D6DC4,854,288,0,274,937,749,811,742,948,270,507,979,656,845,606,1121,455,852,777,1024,781,843,1033,6,509,784,1115,853,984,805,NA
3,4D7143,286,311,0,525,580,154,577,252,247,0,416,370,400,208,216,222,0,332,628,570,321,479,339,437,239,472,791,364,269,538,NA
4,4D6CCA,395,406,58,408,298,508,606,586,315,159,398,733,384,647,447,482,142,303,458,489,593,762,474,46,274,651,506,266,469,599,NA
5,4D6AD5,2,0,0,112,214,544,0,0,0,0,209,149,11,0,731,0,0,0,98,155,398,1245,246,2,272,387,141,0,0,0,NA
6,4D6DDE,545,461,0,241,701,695,550,525,500,273,359,598,727,469,627,594,0,160,543,701,739,600,723,0,346,344,605,534,665,531,NA
7,4D6D74,888,462,0,286,548,535,545,909,239,0,396,613,589,407,751,600,2,0,280,479,444,807,544,0,198,559,524,579,855,439,NA
8,4D6CC9,705,808,72,520,775,804,727,764,711,337,238,697,632,26,2,1,0,5,4,0,0,0,0,0,0,0,0,2,6,0,NA
9,4D6D37,374,458,88,383,514,0,0,0,0,0,0,0,0,0,12,356,0,0,0,0,0,0,0,0,0,39,0,204,0,0,NA
10,4D6AB9,362,610,10,458,658,467,685,638,703,4,432,761,659,759,774,565,2,456,411,649,650,728,669,197,442,724,687,734,730,634,NA
11,4D6B94,669,172,13,648,679,474,675,652,504,4,494,642,747,591,644,547,5,630,634,719,515,323,44,22,605,683,767,764,612,0,NA
12,4D6CBB,842,1023,316,788,895,1011,930,945,895,378,842,1056,866,929,908,862,339,173,581,862,1079,1050,927,582,610,1038,1027,918,1046,903,NA
13,4D6AA1,25,16,18,16,14,14,22,14,43,14,34,38,23,32,51,36,4,2,48,54,34,23,11,4,79,31,100,76,17,21,NA
14,4D6A8D,702,563,0,70,647,306,659,683,645,310,74,693,202,481,666,614,49,54,707,470,589,637,645,53,43,638,629,201,552,422,NA
15,4D6ABD,292,191,132,115,485,349,120,573,155,10,112,468,380,271,181,501,52,43,186,381,375,262,415,118,109,407,431,528,23,150,NA
16,4D6E83,642,771,255,297,804,623,644,648,650,287,291,710,532,507,521,552,242,0,256,702,583,580,605,299,280,568,572,590,642,662,NA
17,4D6E87,441,316,13,373,468,666,289,348,6,0,52,774,945,826,514,585,15,0,97,460,888,635,579,29,0,674,510,345,417,198,NA
18,4D6DB4,626,633,313,422,619,632,622,591,563,234,380,380,370,346,43,9,0,4,22,0,0,0,0,0,0,0,0,62,35,59,NA
19,4D6E6F,4,0,2,12,4,16,17,8,2,0,16,0,3,56,116,391,2,0,19,7,14,25,0,8,12,25,45,14,8,9,NA
20,4D6E5D,577,532,45,0,0,0,23,535,541,77,471,441,368,322,607,392,6,421,576,3,309,493,372,58,514,388,442,406,341,197,NA
21,4D6E36,592,584,41,755,870,813,867,958,888,16,874,1024,864,854,632,755,40,772,901,710,1161,1107,976,0,571,900,929,867,791,666,NA
22,4D6A91,1023,856,140,790,922,957,922,788,878,850,814,860,897,898,813,826,187,779,829,820,945,916,926,1010,929,889,865,927,866,887,NA
23,4D69F5,0,0,0,394,784,726,0,0,0,0,271,722,127,0,0,0,0,0,630,742,427,0,0,0,185,636,624,0,0,0,NA
24,4D6CFA,560,523,21,343,589,513,492,459,512,262,547,384,307,435,463,494,30,120,295,598,620,703,628,108,439,454,641,476,598,392,NA
25,2A0DA61,968,6,0,488,941,693,710,541,7,0,213,794,282,1071,1060,928,71,0,571,828,766,877,773,0,400,893,782,858,721,465,NA
26,4D7128,264,416,2,453,549,465,504,285,364,107,459,721,651,773,529,599,111,524,658,749,772,675,514,0,440,498,627,664,531,462,NA
27,4D6CD2,791,620,344,468,611,816,742,902,792,293,416,702,775,763,759,836,306,2,385,855,555,769,854,337,380,578,689,622,556,787,NA
28,4D6AD9,466,565,445,537,712,688,678,554,551,137,440,721,541,790,776,582,134,188,715,545,809,655,698,274,420,686,578,378,693,539,NA
29,4D6A02,361,79,2,103,106,110,46,0,234,0,303,718,487,535,645,561,526,0,791,1029,1003,526,989,13,780,955,912,988,968,598,NA
30,4D6AAC,672,644,0,549,713,592,544,470,467,0,546,296,601,484,498,588,0,383,540,744,589,466,430,0,583,540,608,639,519,748,NA
31,4D6A9A,846,428,315,406,479,941,1069,813,1028,177,551,840,723,657,869,1090,721,545,661,817,983,1004,706,714,949,681,708,919,1029,803,NA
32,4D6D35,127,50,2,55,156,62,82,53,69,49,59,67,109,69,35,2,0,0,33,36,62,31,3,3,83,69,113,205,153,0,NA
33,4D6AE8,621,382,3,442,641,450,644,641,229,4,468,760,611,748,396,357,3,368,496,682,662,698,235,10,387,620,716,767,498,471,NA
34,4D6CC2,711,428,290,328,528,799,706,748,532,282,372,484,747,762,718,682,38,110,395,686,680,702,548,206,400,490,832,732,784,432,NA
35,4D6A10,666,781,130,470,334,257,615,447,170,2,390,342,581,306,129,434,0,0,522,605,370,146,2,0,414,78,398,228,0,0,NA
36,4D6CB6,808,620,321,446,625,761,731,858,799,278,408,685,769,802,724,827,299,2,399,854,571,865,891,334,411,523,662,632,550,781,NA
37,4D66C2,234,108,26,2,4,198,317,260,22,0,0,0,0,0,0,0,0,0,106,519,255,427,285,0,160,575,273,787,132,38,NA
38,4D6E64,806,924,254,364,783,796,822,758,884,63,363,819,824,835,829,858,66,0,324,810,708,827,877,0,343,822,825,145,0,0,NA
39,4D6D42,564,697,0,649,778,766,743,858,608,0,695,761,969,1084,1031,649,0,9,615,542,787,716,678,0,586,124,922,911,899,695,NA
40,4D6D98,667,601,0,307,902,811,632,638,671,327,408,812,861,759,797,769,0,317,684,996,889,897,828,5,418,495,737,802,928,756,NA
41,4D6D02,1196,1142,134,1023,1182,1240,1237,1218,1090,455,735,1317,1220,1055,1042,1193,140,258,722,927,872,644,0,10,653,899,890,855,568,324,NA
42,4D6CCC,916,849,77,536,610,637,484,744,638,0,502,817,841,734,560,660,0,375,569,796,301,831,733,0,691,879,770,640,785,737,NA
43,4D6DBC,620,982,214,541,832,818,878,802,0,0,302,818,562,539,809,567,0,0,655,711,779,871,746,0,0,0,530,675,689,574,NA
44,4D6A90,8,0,94,0,0,0,0,352,183,27,0,0,13,44,0,441,121,0,27,0,0,360,682,0,0,0,0,0,519,165,NA
45,4D7139,804,438,0,670,1235,848,969,1084,784,0,455,1225,667,954,1192,797,13,396,1109,627,881,1119,1105,522,814,1011,1115,1048,1134,1130,NA
46,4D6E3C,696,914,0,528,722,897,708,713,512,0,496,614,797,781,618,551,0,685,380,935,826,483,0,0,650,789,810,820,824,701,NA
